"ano","mes","InstSalud","Nombre","cuenta","ingreso_mensual"
"2025","5",7,"Cruz pal cielo Ltda.","15","96144747"
"2025","5",8,"Medibanc S.A.","15","101785435"
"2025","5",9,"sinsalud S.A.","17","82712876"
"2025","5",10,"especial S.A.","13","229126982"
"2025","5",11,"FONASA","14","91076901"
"2025","5",NULL,NULL,"11","35118434"
"2025","6",1,"Salud Ltda.","16","70989158"
"2025","6",2,"Colmena de avispas S.A.","15","71698900"
"2025","6",3,"Fundación e imperio","12","58155969"
"2025","6",4,"Cruz de Malta S.A.","20","188263359"
"2025","6",5,"Vida uno S.A.","21","122317440"
"2025","6",6,"Menos vida S.A.","18","85964951"
"2025","6",7,"Cruz pal cielo Ltda.","12","140778559"
"2025","6",8,"Medibanc S.A.","16","331199834"
"2025","6",9,"sinsalud S.A.","14","64244959"
"2025","6",10,"especial S.A.","16","114744371"
"2025","6",11,"FONASA","11","69094649"
"2025","6",NULL,NULL,"22","95117748"
"2025","7",1,"Salud Ltda.","17","141240309"
"2025","7",2,"Colmena de avispas S.A.","15","59883472"
"2025","7",3,"Fundación e imperio","24","87680256"
"2025","7",4,"Cruz de Malta S.A.","13","44320696"
"2025","7",5,"Vida uno S.A.","20","114709188"
"2025","7",6,"Menos vida S.A.","23","116470252"
"2025","7",7,"Cruz pal cielo Ltda.","8","161208782"
"2025","7",8,"Medibanc S.A.","8","13463003"
"2025","7",9,"sinsalud S.A.","12","103835353"
"2025","7",10,"especial S.A.","17","90270192"
"2025","7",11,"FONASA","24","136208583"
"2025","7",NULL,NULL,"17","66186861"
"2025","8",1,"Salud Ltda.","17","68197830"
"2025","8",2,"Colmena de avispas S.A.","11","54307068"
"2025","8",3,"Fundación e imperio","18","116672371"
"2025","8",4,"Cruz de Malta S.A.","10","105773123"
"2025","8",5,"Vida uno S.A.","16","67717525"
"2025","8",6,"Menos vida S.A.","18","86418996"
"2025","8",7,"Cruz pal cielo Ltda.","10","33077206"
"2025","8",8,"Medibanc S.A.","18","86634083"
"2025","8",9,"sinsalud S.A.","11","84905668"
"2025","8",10,"especial S.A.","12","37482876"
"2025","8",11,"FONASA","23","113536912"
"2025","8",NULL,NULL,"21","80815345"
